,CBOEVIX,S&PCOMP,SMB,HML,SBcov,HLcov,MKT,SMB_mom,HML_mom,MKT_mom,CBOEVIX_d,CBOEVIX_roll,CBOEVIX_spr,MKTVol,SMBVol,HMLVol,MSCov,MHCov,SHCov,MKTp,SMBp,HMLp,MSCovp,MHCovp,SHCovp,Rsqr,classifier
2015-10-27,15.43,2065.89,-0.0142,-0.0121,0.6475298251438734,0.9603447400872788,-0.0025540995953997614,0.9078331394729982,0.845086370747501,1.053149676544506,0.009719986364220626,0.010270997071648165,-0.0005510107074275395,8.830808153618129e-05,5.149476190476224e-05,5.330031746031676e-05,-4.984858410486565e-05,2.0561520518152566e-05,-2.047350913804659e-06,50.22252650148855,64.73391521855365,-717.6296372676247,-67.81130184531776,382.83210960290756,232.4873693610335,0.4102452904586651,2.0
2015-10-28,14.33,2090.35,0.0129,0.0318,0.6481841570227072,0.9655743881616479,0.011839933394323987,0.9080124291223457,0.867276822495794,1.0530465227576118,0.009027051497037045,0.010270159650362067,-0.0012431081533250225,8.829872872453368e-05,5.1515079365079705e-05,5.7197460317459614e-05,-4.9840425862554047e-05,2.299493831977509e-05,7.510301650545086e-07,40.897160345455866,57.71705334438583,-758.2485041019913,-79.08268188769087,402.65283345314094,214.26726258415567,0.4066693172523759,1.0
2015-10-29,14.61,2089.41,-0.01,-0.007000000000000001,0.6482897789793252,0.9675105688357768,-0.00044968545937285054,0.8985728756808502,0.8496506360875333,1.0540331937648186,0.009203434917774683,0.010269409720852128,-0.0010659748030774456,8.829191526048864e-05,5.191126984127017e-05,5.6657936507935806e-05,-4.9776549392722314e-05,2.3215676884581436e-05,1.1555960285845146e-06,37.1342648234711,40.497236331806086,-811.9924765951015,-88.75355288427811,431.3907844786089,191.79872677434454,0.4093483662473786,1.0
2015-10-30,15.07,2079.36,0.0010999999999999998,-0.0074,0.6475211724530493,0.9652197306014129,-0.0048099702786910115,0.8965131610963705,0.8480273719260796,1.0424686035144006,0.00949320768041509,0.010269422219677294,-0.0007762145392622034,8.822969784246507e-05,5.187019841269874e-05,5.6755198412697704e-05,-5.001870703865559e-05,2.372110658398019e-05,1.2222389805860323e-06,35.75277850712195,27.58839884293575,-846.4194253217527,-95.02856413807126,447.85498025794544,172.60684638334806,0.40972757671321136,1.0
2015-11-02,14.15,2104.05,0.010500000000000002,0.005,0.6539919180421216,0.9672427622842054,0.011873845798707316,0.9090172077943843,0.8515862397938744,1.042615396050644,0.008913662155134276,0.010270259640963394,-0.0013565974858291176,8.824304269736505e-05,5.226182539682572e-05,5.685186507936437e-05,-4.873022607436515e-05,2.4113076712139646e-05,1.743342819199832e-06,37.48826518938288,15.159422307839662,-871.8653384106084,-97.9958411523086,459.72259838766206,158.17884760249066,0.4110189058169279,1.0
2015-11-03,14.54,2109.79,0.0033,0.0027,0.6547312084993404,0.967150332005321,0.002728072051519481,0.9149447879013903,0.8532029602730993,1.045584073822609,0.009159339062590272,0.010270172149187233,-0.0011108330865969608,8.827251981467253e-05,5.2264404761905084e-05,5.687825396825327e-05,-4.866498007176975e-05,2.418299778606344e-05,1.8712300006328303e-06,40.94593193375243,-1.1933300333312467,-902.2150015432817,-100.859041132784,473.6186899361393,140.26224255591825,0.4133982185397028,1.0
2015-11-04,15.51,2102.31,0.006000000000000001,-0.0075,0.6540849237968803,0.9662786378296426,-0.0035453765540646165,0.9198825271125305,0.8474819236099397,1.0448337557775453,0.009770381627288523,0.010270709598669355,-0.0005003279713808317,8.829062268503137e-05,5.240583333333365e-05,5.7098928571427874e-05,-4.883220316399035e-05,2.4385054497997516e-05,1.5260826535133716e-06,45.597207861266575,-16.462830537349124,-924.7981886302417,-101.52927923417955,485.2560479166074,126.62521837721077,0.4156702043105476,2.0
2015-11-05,15.05,2099.93,-0.0058000000000000005,0.0083,0.6543828811737221,0.9684969661038474,-0.0011320880364932284,0.9196975145366837,0.8405626830374794,1.037735289611923,0.009480608864648115,0.010272584422444202,-0.0007919755577960874,8.816675676188167e-05,5.241488095238127e-05,5.627880952380883e-05,-4.854182728928745e-05,2.3534610998918403e-05,1.8619787516604655e-06,51.93773160010878,-30.52385653763898,-939.0777008587567,-99.3835006220368,494.6728742362111,119.29678720183601,0.4182546722163635,0.0
2015-11-06,14.33,2099.2,0.0087,0.02,0.654421017517237,0.9692007335736507,-0.00034763063530685034,0.9287204754361325,0.8637658036452045,1.0334726591539023,0.009027051497037045,0.010274509241519712,-0.001247457744482667,8.811067106357473e-05,5.271043650793683e-05,5.764880952380883e-05,-4.855653145938833e-05,2.3641958416623147e-05,3.2935040789228454e-06,58.78337189531271,-46.499478070014604,-952.6372350520196,-97.20113713434492,503.768616835651,107.49131136661872,0.42005604933213603,0.0
2015-11-09,16.52,2078.58,0.0032999999999999995,0.0023,0.6569659362549845,0.972031417188398,-0.00982278963414629,0.9328113454851056,0.8617024634155346,1.0229635025000976,0.010406621823520722,0.010279583764536963,0.0001270380589837583,8.84930719137674e-05,5.2748849206349524e-05,5.758214285714216e-05,-4.883811438660219e-05,2.34066455849719e-05,3.409770442041798e-06,68.3939504000653,-63.01415193153826,-959.821846235163,-92.15198211234272,510.3120595513859,99.9166366680867,0.4231879234515892,0.0
2015-11-10,15.29,2081.72,-0.0088,0.0011,0.6561517991526005,0.971814532346812,0.0015106466914911465,0.9239558365592443,0.8678574810113597,1.0213221080725716,0.009631794653851805,0.010287108057286685,-0.0006553134034348804,8.84634941181705e-05,5.305420634920667e-05,5.744408730158661e-05,-4.8954955869966756e-05,2.3554611500147653e-05,3.3398241952828027e-06,78.82587760702164,-76.26398028890233,-958.5013154412231,-84.49361022585589,513.9553370026674,101.12475718353566,0.4257261731168722,0.0
2015-11-11,16.06,2075.0,-0.005699999999999999,-0.0125,0.6571453867071441,0.9731245699740807,-0.0032280998405164185,0.9217310005928138,0.8604510667657821,1.0173164417947893,0.010116849060880315,0.0102943073805821,-0.00017745831970178427,8.850291981577395e-05,5.313992063492095e-05,5.800063492063422e-05,-4.879685698082528e-05,2.388926300895094e-05,3.7720634920639315e-06,89.08310373230567,-91.02072178536596,-964.1559670870354,-78.97152144363031,517.5844660291423,95.59021194426846,0.43001637336834264,1.0
2015-11-12,18.37,2045.97,-0.0014999999999999992,-0.0078000000000000005,0.6655746300512282,0.9858527841016972,-0.01399036144578314,0.9131346404325077,0.8561367312926282,1.0037875628602961,0.01157201228196584,0.010304918883147735,0.001267093398818104,8.927767650498345e-05,5.2901190476190797e-05,5.821095238095168e-05,-4.861246950788504e-05,2.4685430905886576e-05,3.985730727882562e-06,97.99458250337143,-99.54215410508574,-961.7844263206684,-73.03489721764188,515.736043742608,96.13556598016945,0.43308816598099065,0.0
2015-11-13,20.08,2023.04,0.007599999999999999,0.009,0.6679633466135502,0.9883095048378003,-0.011207397957936904,0.9310609833027681,0.8666151302911929,0.9920120823996126,0.012649211030042136,0.01031946751564055,0.002329743514401586,8.97749979759533e-05,5.257785714285746e-05,5.849174603174533e-05,-4.927462009176143e-05,2.3839022289050024e-05,4.345657370518369e-06,107.52639510399642,-106.0787794481135,-953.8925600897211,-65.53630984149126,511.7532611229384,101.54808474883208,0.4342190501445209,0.0
